iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
686	271	290	271	342	271	290	342
687	271	290	271	342	271	290	342
688	271	290	271	342	271	290	342
689	271	290	271	342	271	290	342
690	271	290	271	342	271	290	342
691	271	290	271	342	271	290	342
692	271	290	271	342	271	290	342
693	271	290	271	342	271	290	342
694	271	290	271	342	271	290	342
695	271	290	271	342	271	290	342
696	271	290	271	342	271	290	342
697	271	290	271	342	271	290	342
698	271	290	271	342	271	290	342
699	271	290	271	342	271	290	342
700	271	290	271	342	271	290	342
701	271	290	271	342	271	290	342
702	271	290	271	342	271	290	342
703	271	290	271	342	271	290	342
704	271	290	271	342	271	290	342
705	271	290	271	342	271	290	342
706	271	290	271	342	271	290	342
707	271	290	271	342	271	290	342
708	271	290	271	342	271	290	342
709	271	290	271	342	271	290	342
710	271	290	271	342	271	290	342
711	271	290	271	342	271	290	342
712	271	290	271	342	271	290	342
713	271	290	271	342	271	290	342
714	271	290	271	342	271	290	342
715	271	290	271	342	271	290	342
716	271	290	271	342	271	290	342
717	271	290	271	342	271	290	342
718	271	290	271	342	271	290	342
719	271	290	271	342	271	290	342
720	271	290	271	342	271	290	342
721	271	290	271	342	271	290	342
722	271	290	271	342	271	290	342
723	271	290	271	342	271	290	342
724	271	290	271	342	271	290	342
725	271	290	271	342	271	290	342
726	271	290	271	342	271	290	342
727	271	290	271	342	271	290	342
728	271	290	271	342	271	290	342
729	271	290	271	342	271	290	342
730	271	290	271	342	271	290	342
731	271	290	271	342	271	290	342
732	271	290	271	342	271	290	342
733	271	290	271	342	271	290	342
734	271	290	271	342	271	290	342
735	271	290	271	342	271	290	342
736	271	290	271	342	271	290	342
737	271	290	271	342	271	290	342
738	271	290	271	342	271	290	342
739	271	290	271	342	271	290	342
740	271	290	271	342	271	290	342
741	271	290	271	342	271	290	342
742	271	290	271	342	271	290	342
743	271	290	271	342	271	290	342
744	271	290	271	342	271	290	342
745	271	290	271	342	271	290	342
746	272	291	272	342	272	291	342
747	271	290	271	342	271	290	342
748	271	290	271	342	271	290	342
749	271	289	271	342	271	289	342
750	272	290	272	342	272	290	342
751	272	290	272	342	272	290	342
752	272	290	272	342	272	290	342
753	272	290	272	342	272	290	342
754	272	290	272	342	272	290	342
755	273	291	273	342	273	291	342
756	273	291	273	342	273	291	342
757	272	290	272	342	272	290	342
758	272	290	272	342	272	290	342
759	272	290	272	342	272	290	342
760	272	290	272	342	272	290	342
761	272	290	272	342	272	290	342
762	272	290	272	342	272	290	342
763	273	291	273	342	273	291	342
764	272	290	272	342	272	290	342
765	272	290	272	342	272	290	342
766	272	290	272	342	272	290	342
767	272	290	272	342	272	290	342
768	272	290	272	342	272	290	342
769	272	290	272	342	272	290	342
770	272	290	272	342	272	290	342
771	271	289	271	342	271	289	342
772	272	290	272	342	272	290	342
773	273	291	273	342	273	291	342
774	273	291	273	342	273	291	342
775	273	291	273	342	273	291	342
776	273	291	273	342	273	291	342
777	273	291	273	342	273	291	342
778	273	291	273	342	273	291	342
779	273	291	273	342	273	291	342
780	273	291	273	342	273	291	342
781	273	291	273	342	273	291	342
782	273	291	273	342	273	291	342
783	274	292	274	342	274	292	342
784	274	292	274	342	274	292	342
785	275	293	275	342	275	293	342
786	275	293	275	342	275	293	342
787	276	295	276	342	276	295	342
788	276	295	276	342	276	295	342
789	276	294	276	342	276	294	342
790	276	294	276	342	276	294	342
791	276	294	276	342	276	294	342
792	276	294	276	342	276	294	342
793	276	294	276	342	276	294	342
794	275	293	275	342	275	293	342
795	276	294	276	342	276	294	342
796	275	293	275	342	275	293	342
797	274	292	274	342	274	292	342
798	275	293	275	342	275	293	342
799	275	293	275	342	275	293	342
800	275	293	275	342	275	293	342
801	275	293	275	342	275	293	342
802	274	292	274	342	274	292	342
803	274	292	274	342	274	292	342
804	274	292	274	342	274	292	342
805	274	292	274	342	274	292	342
806	274	292	274	342	274	292	342
807	274	292	274	342	274	292	342
808	274	292	274	342	274	292	342
809	274	292	274	342	274	292	342
810	274	292	274	342	274	292	342
811	274	292	274	342	274	292	342
812	274	292	274	342	274	292	342
813	274	292	274	342	274	292	342
814	274	292	274	342	274	292	342
815	274	292	274	342	274	292	342
816	274	292	274	342	274	292	342
817	274	292	274	342	274	292	342
818	274	292	274	342	274	292	342
819	275	293	275	342	275	293	342
820	275	293	275	342	275	293	342
821	275	293	275	342	275	293	342
822	275	293	275	342	275	293	342
823	275	293	275	342	275	293	342
824	275	293	275	342	275	293	342
825	275	293	275	342	275	293	342
826	275	293	275	342	275	293	342
827	276	294	276	342	276	294	342
828	276	294	276	342	276	294	342
829	276	294	276	342	276	294	342
830	276	294	276	342	276	294	342
831	276	294	276	342	276	294	342
832	276	294	276	342	276	294	342
833	276	294	276	342	276	294	342
834	276	294	276	342	276	294	342
835	276	294	276	342	276	294	342
836	276	294	276	342	276	294	342
837	276	294	276	342	276	294	342
838	275	293	275	342	275	293	342
839	275	293	275	342	275	293	342
840	275	293	275	342	275	293	342
841	276	294	276	342	276	294	342
842	276	294	276	342	276	294	342
843	276	294	276	342	276	294	342
844	275	293	275	342	275	293	342
845	275	293	275	342	275	293	342
846	275	293	275	342	275	293	342
847	276	294	276	342	276	294	342
848	276	294	276	342	276	294	342
849	277	295	277	342	277	295	342
850	277	295	277	342	277	295	342
851	277	295	277	342	277	295	342
852	277	295	277	342	277	295	342
853	277	295	277	342	277	295	342
854	277	295	277	342	277	295	342
